單字,音標,詞性,中文釋義,英文例句,相關片語或備註,來源
facilitate,fə'sɪlɪ(ə)teɪt,v.,"使容易, 促進",The two businessmen were so angry at each other that they needed someone else to facilitate the meeting.,無,1
sabotage,'sæbətɑ:ʒ,v.,暗中破壞,She is trying to sabotage their relationship by telling them lies about each other.,無,1
aggressive,ə'ɡresɪv,a.,"挑釁的, 侵略的, 積極的",The aggressive way in which Bush conducted foreign policy caused other countries' citizens to dislike America.,無,1
coherent,kəʊ'hɪərənt,a.,"一致的, 協調的, 條理清楚的","When I wake up in the morning, it is not possible for me to say anything coherent.",無,1
excessive,ɪk'sesɪv,a.,"過多的, 極度的",The amount of money you spent on that watch was excessive. I don't understand why you couldn't buy a cheaper one.,無,1
trigger,'trɪɡə,v.,"引發, 扣扳機",Her comment about his ex-girlfriend was what triggered the breaking up of their relationship.,無,1
dynamic,daɪ'næmɪk,a.,"力學的, 有活力的, 朝氣蓬勃的","His personality is very dynamic. When he is at a party, everybody wants to be around him.",無,1
typical,'tɪpɪkəl,a.,"典型的, 象徵的, 有代表性的",A typical day at work for many Koreans starts early in the morning and lasts all day.,無,1
interfere,ˌɪntə'fɪə,v.,"干涉, 妨害, 擾亂",Please don't interfere when I'm working; this job requires my full attention.,無,2
suspicious,səs'pɪʃəs,a.,"可疑的, 令人懷疑的",His reasoning behind the car accident was very suspicious. I think it might actually be his fault after all.,無,2
exotic,ɪɡ'zɒtɪk,a.,"具有異國風情的, 外來的",The flora in Taiwan is exotic to many Western tourists.,無,2
immense,ɪ'mens,a.,"巨大的, 無邊無際的",I'm afraid that this task gives me more responsibility than I can handle. I feel like I have this immense burden on my shoulders.,無,2
appeal,ə'pi:l,n. / v.,"吸引, 訴求, 懇求; 上訴","On the basis of his appeal, I changed my mind about this plan and decided not to go forward with it. / The lawyer decided to appeal their case to the next higher court when the judge handed down an unfavourable decision.",無,2
subliminal,sʌb'lɪmɪnəl,a.,"潛意識的, (廣告或訊息) 間接的",A long time ago movie theatres used to put subliminal messages into movies to try and make customers buy popcorn. I don't know if it actually worked though.,無,2
manipulate,mə'nɪpjʊleɪt,v.,"操縱, 控制, 影響",University scientific researchers are often put under pressure to manipulate the results to suit their sponsors.,無,2
eliminate,ɪ'lɪmɪ(ə)neɪt,v.,"除去, 剔除, 淘汰",I cannot eliminate other job opportunities until I know for sure that Disney will hire me.,無,3
vigorous,'vɪɡərəs,a.,"精力充沛的, 健康有活力的","As well as dieting, vigorous exercise is another way to help you lose weight.",無,3
alter,'ɔ:ltə,v.,"改變, 修改 (衣服等)",The hurricane altered our plans to go to the beach for a picnic.,無,3
resemble,rɪ'zembl,v.,"像, 相似","Whenever he gets angry, I see just how much he resembles his father.",無,3
identical,aɪ'dentɪkəl,a.,"完全相同的, 非常相似的",That store is absolutely identical to the one that was there before. They just changed the name.,無,3
restore,rɪ'stɔ:,v.,"恢復, 重建, 修復","If we get eight hours of sleep, our bodies' energy will be restored.",無,3
